Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
2016,Deep Residual Learning for Image Recognition,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Microsoft Research (United Kingdom),GB,184257,Artificial Intelligence
2001,,Leo Breiman,"University of California, Berkeley",US,101030,Artificial Intelligence
1995,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,"Yoav Benjamini, Yosef Hochberg",Tel Aviv University,IL,95868,Artificial Intelligence
1990,Basic local alignment search tool,"Stephen F. Altschul, Warren Gish, Webb Miller, Eugene W. Myers, David J. Lipman","National Center for Biotechnology Information, National Institutes of Health, Pennsylvania State University, University of Arizona",US,88090,Artificial Intelligence
1997,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,Stephen F. Altschul,"National Center for Biotechnology Information, National Institutes of Health",US,72180,Artificial Intelligence
2014,Very Deep Convolutional Networks for Large-Scale Image Recognition,"Karen Simonyan, Andrew Zisserman",University of Oxford,GB,71827,Artificial Intelligence
1991,The theory of planned behavior,Icek Ajzen,University of Massachusetts Amherst,US,71237,Artificial Intelligence
2015,U-Net: Convolutional Networks for Biomedical Image Segmentation,"Olaf Ronneberger, Philipp Fischer, Thomas Brox",University of Freiburg,DE,69289,Artificial Intelligence
2012,ImageNet Classification with Deep Convolutional Neural Networks,"Alex Krizhevsky, Ilya Sutskever, Geoffrey E. Hinton",University of Toronto,CA,68239,Artificial Intelligence
2015,Deep learning,"Yann LeCun, Yoshua Bengio, Geoffrey E. Hinton","Google (United States), Meta (United States), Université de Montréal, University of Toronto, New York University, University of New Brunswick","CA, US",66539,Artificial Intelligence
2003,Common method biases in behavioral research: A critical review of the literature and recommended remedies.,"Philip M. Podsakoff, Scott MacKenzie, Jeong Yeon Lee, Nathan P. Podsakoff","Indiana University Bloomington, University of Florida",US,63091,Artificial Intelligence
2012,Scikit-learn: Machine Learning in Python,"Fabián Pedregosa, Gaël Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel, Mathieu Blondel, Peter Prettenhofer, Ron J. Weiss, Vincent Dubourg, Jake Vanderplas, Alexandre Passos, David Cournapeau, Matthieu Brucher, Matthieu Perrot, Édouard Duchesnay","Kobe University, Commissariat à l'Énergie Atomique et aux Énergies Alternatives, Google (Canada), Bauhaus-Universität Weimar, University of Washington, Enthought (United States), CEA Paris-Saclay, Total (France), Amherst College, University of Massachusetts Amherst, Nuxe (France)","US, DE, FR, CA, JP",61610,Artificial Intelligence
1987,The neighbor-joining method: a new method for reconstructing phylogenetic trees.,"Naruya Saitou, M Nei",The University of Texas Health Science Center at Houston,US,59364,Artificial Intelligence
2012,Fiji: an open-source platform for biological-image analysis,"Johannes Schindelin, Ignacio Arganda‐Carreras, Erwin Frise, Verena Kaynig, Mark Longair, Tobias Pietzsch, Stephan Preibisch, Curtis Rueden, Stephan Saalfeld, Benjamin Schmid, Jean-Yves Tinévez, Daniel J. White, Volker Hartenstein, Kevin W. Eliceiri, Pavel Tomančák, Albert Cardona","ETH Zurich, University of Wisconsin–Madison, University of Zurich, Max Planck Institute of Molecular Cell Biology and Genetics, Massachusetts Institute of Technology, Institut Pasteur, University of Würzburg, Institute of Cognitive and Brain Sciences, SIB Swiss Institute of Bioinformatics, University of California, Los Angeles, Lawrence Berkeley National Laboratory","CH, DE, US, FR",57038,Artificial Intelligence
2017,Attention Is All You Need,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Łukasz Kaiser, Illia Polosukhin",Unknown Institution,Unknown Country,56201,Artificial Intelligence
1996,VMD: Visual molecular dynamics,"William Humphrey, Andrew Dalke, Klaus Schulten",University of Illinois Urbana-Champaign,US,55997,Artificial Intelligence
2009,ImageNet: A large-scale hierarchical image database,"Jia Deng, Wei Dong, Richard Socher, Li-Jia Li, Kai Li, Li Fei-Fei",Princeton University,US,53579,Artificial Intelligence
2004,Distinctive Image Features from Scale-Invariant Keypoints,David Lowe,University of British Columbia,CA,52494,Artificial Intelligence
1998,Gradient-based learning applied to document recognition,"Yann LeCun, Léon Bottou, Yoshua Bengio, Patrick Haffner",Université de Montréal,CA,50629,Artificial Intelligence
1989,"Genetic algorithms in search, optimization, and machine learning",,Unknown Institution,Unknown Country,49808,Artificial Intelligence
1996,Fuzzy sets,Lotfi A. Zadeh,Unknown Institution,Unknown Country,48650,Artificial Intelligence
2004,Image Quality Assessment: From Error Visibility to Structural Similarity,"Zhou Wang, Alan C. Bovik, H.R. Sheikh, Eero P. Simoncelli","Howard Hughes Medical Institute, New York University, The University of Texas at Austin",US,46992,Artificial Intelligence
1996,Regression Shrinkage and Selection Via the Lasso,Robert Tibshirani,University of Toronto,CA,46354,Artificial Intelligence
2013,MEGA6: Molecular Evolutionary Genetics Analysis Version 6.0,"Koichiro Tamura, Glen Stecher, Daniel S. Peterson, Alan Filipski, Sudhir Kumar","Arizona State University, King Abdulaziz University, Tokyo Metropolitan University","SA, US, JP",45039,Artificial Intelligence
2015,Going deeper with convolutions,"Christian Szegedy, Wei Liu, Yangqing Jia, Pierre Sermanet, Scott Reed, Dragomir Anguelov, Dumitru Erhan, Vincent Vanhoucke, Andrew Rabinovich","University of North Carolina at Chapel Hill, Magic Leap (United States), University of Michigan–Ann Arbor, Google (United States)",US,43789,Artificial Intelligence
2016,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"Shaoqing Ren, Kaiming He, Ross Girshick, Jian Sun","Meta (United States), University of Science and Technology of China, Microsoft (United States)","CN, US",43782,Artificial Intelligence
1983,Optimization by Simulated Annealing,"Scott Kirkpatrick, C. D. Gelatt, M.P. Vecchi","Instituto Venezolano de Investigaciones Científicas, IBM Research - Thomas J. Watson Research Center","US, VE",43012,Artificial Intelligence
2003,Cytoscape: A Software Environment for Integrated Models of Biomolecular Interaction Networks,"Paul Shannon, Andrew Markiel, Owen Ozier, Nitin S. Baliga, Jonathan T. Wang, Daniel Ramage, Nada Amin, Benno Schwikowski, Trey Ideker","Whitehead Institute for Biomedical Research, Institute for Systems Biology, University of California, San Diego",US,42912,Artificial Intelligence
2003,Model Selection and Multimodel Inference: A Practical Information-Theoretic Approach,"Fred S. Guthery, Kenneth P. Burnham, David Anderson",Unknown Institution,Unknown Country,41829,Artificial Intelligence
2002,Particle swarm optimization,"James Kennedy, R.C. Eberhart","Indiana University – Purdue University Indianapolis, University of Indianapolis",US,41250,Artificial Intelligence
1998,Collective dynamics of ‘small-world’ networks,"Duncan J. Watts, Steven H. Strogatz",Cornell University,US,40902,Artificial Intelligence
2002,A fast and elitist multiobjective genetic algorithm: NSGA-II,"Kalyanmoy Deb, Amrit Pratap, Sakshi Agarwal, T. Meyarivan",Indian Institute of Technology Kanpur,IN,40797,Artificial Intelligence
2011,LIBSVM,"Chih-Chung Chang, Chih‐Jen Lin",National Taiwan University,TW,40772,Artificial Intelligence
1994,Situated Learning: Legitimate Peripheral Participation.,"Maurice Bloch, Jean Lave, Étienne Wenger",Unknown Institution,Unknown Country,40612,Artificial Intelligence
2013,"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach",Andrew F. Hayes,The Ohio State University,US,40048,Artificial Intelligence
1979,A Threshold Selection Method from Gray-Level Histograms,Nobuyuki Otsu,Unknown Institution,Unknown Country,39851,Artificial Intelligence
2011,"MEGA5: Molecular Evolutionary Genetics Analysis Using Maximum Likelihood, Evolutionary Distance, and Maximum Parsimony Methods","Koichiro Tamura, Daniel G. Peterson, Nora Peterson, Glen Stecher, M Nei, Sudhir Kumar","Arizona State University, Pennsylvania State University, Tokyo Metropolitan University","US, JP",39699,Artificial Intelligence
1948,A Mathematical Theory of Communication,Claude E. Shannon,Unknown Institution,Unknown Country,39213,Artificial Intelligence
2017,Densely Connected Convolutional Networks,"Gao Huang, Zhuang Liu, Laurens van der Maaten, Kilian Q. Weinberger","Tsinghua University, Cornell University, Meta (Israel)","IL, CN, US",37834,Artificial Intelligence
1961,An Inventory for Measuring Depression,Aaron T. Beck,University of Pennsylvania,US,37192,Artificial Intelligence
2018,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"Jacob Devlin, Ming‐Wei Chang, Kenton Lee, Kristina Toutanova",Google (United States),US,37143,Artificial Intelligence
2015,ImageNet Large Scale Visual Recognition Challenge,"Olga Russakovsky, Jia Deng, Hao Su, Jonathan Krause, Sanjeev Satheesh, Sean Ma, Zhiheng Huang, Andrej Karpathy, Aditya Khosla, Michael S. Bernstein, Alexander C. Berg, Li Fei-Fei","University of North Carolina at Chapel Hill, Massachusetts Institute of Technology, Stanford University, University of Michigan–Ann Arbor",US,37008,Artificial Intelligence
1973,Multivariate Data Analysis.,"H. Herne, William W. Cooley, Paul R. Lohnes",Unknown Institution,Unknown Country,36964,Artificial Intelligence
2016,"You Only Look Once: Unified, Real-Time Object Detection","Joseph Redmon, Santosh Divvala, Ross Girshick, Ali Farhadi","Allen Institute, University of Washington, Meta (Israel)","IL, US",36908,Artificial Intelligence
1995,Support-vector networks,"Corinna Cortes, Vladimir Vapnik",AT&T (United States),US,36580,Artificial Intelligence
1986,Meta-analysis in clinical trials,"Rebecca DerSimonian, Nan M. Laird","Harvard University, Yale University",US,36505,Artificial Intelligence
1975,Adaptation in natural and artificial systems,John H. Holland,Unknown Institution,Unknown Country,36223,Artificial Intelligence
2014,Microsoft COCO: Common Objects in Context,"Tsung-Yi Lin, Michael Maire, Serge Belongie, James Hays, Pietro Perona, Deva Ramanan, Piotr Dollár, C. Lawrence Zitnick","UC Irvine Health, Microsoft (United States), Cornell University, California Institute of Technology",US,35887,Artificial Intelligence
2009,<tt>edgeR</tt>: a Bioconductor package for differential expression analysis of digital gene expression data,"Mark D. Robinson, Davis J. McCarthy, Gordon K. Smyth","Walter and Eliza Hall Institute of Medical Research, Garvan Institute of Medical Research",AU,35743,Artificial Intelligence
2008,Visualizing Data using t-SNE,"Laurens van der Maaten, Geoffrey E. Hinton",Unknown Institution,Unknown Country,35057,Artificial Intelligence
2008,Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources,"Da Wei Huang, Brad T. Sherman, Richard A. Lempicki","Science Applications International Corporation (United States), National Cancer Institute",US,34055,Artificial Intelligence
2014,Dropout: a simple way to prevent neural networks from overfitting,"Nitish Srivastava, Geoffrey E. Hinton, Alex Krizhevsky, Ilya Sutskever, Ruslan Salakhutdinov",University of Toronto,CA,33706,Artificial Intelligence
1997,[20] Processing of X-ray diffraction data collected in oscillation mode,"Zbyszek Otwinowski, W. Minor",Unknown Institution,Unknown Country,33417,Artificial Intelligence
1990,Absorptive Capacity: A New Perspective on Learning and Innovation,"Wesley M. Cohen, Daniel A. Levinthal","Carnegie Mellon University, University of Pennsylvania",US,32739,Artificial Intelligence
2017,ImageNet classification with deep convolutional neural networks,"Alex Krizhevsky, Ilya Sutskever, Geoffrey E. Hinton","OpenAI (United States), Google (United States)",US,32566,Artificial Intelligence
2014,Glove: Global Vectors for Word Representation,"Jeffrey Pennington, Richard Socher, Christopher D. Manning",Stanford University,US,32382,Artificial Intelligence
2000,Inference of Population Structure Using Multilocus Genotype Data,"Jonathan K. Pritchard, Matthew Stephens, Peter Donnelly",University of Oxford,GB,32252,Artificial Intelligence
2015,Fully convolutional networks for semantic segmentation,"Jonathan Long, Evan Shelhamer, Trevor Darrell","University of California, Berkeley",US,31496,Artificial Intelligence
2019,,"Jacob Devlin, Ming‐Wei Chang, Kenton Lee, Kristina Toutanova",Unknown Institution,Unknown Country,30916,Artificial Intelligence
1998,Principles and Practice of Structural Equation Modeling,Rex B. Kline,Concordia University,CA,30700,Artificial Intelligence
1998,Neural Networks: A Comprehensive Foundation,Simon Haykin,Unknown Institution,Unknown Country,30516,Artificial Intelligence
2005,Histograms of Oriented Gradients for Human Detection,"Navneet Dalal, Bill Triggs","Centre Inria de l'Université Grenoble Alpes, Institut national de recherche en informatique et en automatique",FR,30421,Artificial Intelligence
1995,,"Corinna Cortes, Vladimir Vapnik",Nokia (United States),US,29692,Artificial Intelligence
2021,Highly accurate protein structure prediction with AlphaFold,"John Jumper, Richard Evans, Alexander Pritzel, Tim Green, Michael Figurnov, Olaf Ronneberger, Kathryn Tunyasuvunakool, Russ Bates, Augustin Žídek, Anna Potapenko, Alex Bridgland, Clemens Meyer, Simon Kohl, Andrew J. Ballard, Andrew Cowie, Bernardino Romera‐Paredes, Stanislav Nikolov, Rishub Jain, Jonas Adler, Trevor Back, Stig Petersen, David Reiman, Ellen Clancy, Michał Zieliński, Martin Steinegger, Michalina Pacholska, Tamas Berghammer, Sebastian W. Bodenstein, David Silver, Oriol Vinyals, Andrew Senior, Koray Kavukcuoglu, Pushmeet Kohli, Demis Hassabis","Seoul National University, DeepMind (United Kingdom)","GB, KR",29463,Artificial Intelligence
2014,RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies,Alexandros Stamatakis,"Heidelberg Institute for Theoretical Studies, Karlsruhe Institute of Technology",DE,29425,Artificial Intelligence
1960,A New Approach to Linear Filtering and Prediction Problems,R. E. Kalman,Institute for Advanced Study,DE,28948,Artificial Intelligence
2008,Asymptotic and resampling strategies for assessing and comparing indirect effects in multiple mediator models,"Kristopher J. Preacher, Andrew F. Hayes","The Ohio State University, University of Kansas",US,28883,Artificial Intelligence
2003,MrBayes 3: Bayesian phylogenetic inference under mixed models,"Fredrik Ronquist, John P. Huelsenbeck","Uppsala University, University of California, San Diego","US, SE",28313,Artificial Intelligence
1991,Situated Learning,"Jean Lave, Étienne Wenger",Unknown Institution,Unknown Country,28295,Artificial Intelligence
2014,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",Berkeley College,US,27882,Artificial Intelligence
1979,Sample Selection Bias as a Specification Error,James J. Heckman,Unknown Institution,Unknown Country,27833,Artificial Intelligence
1999,Statistical Learning Theory,"Yuhai Wu, Vladimir Vapnik",Purdue University West Lafayette,US,27750,Artificial Intelligence
2003,Latent dirichlet allocation,"David M. Blei, Andrew Y. Ng, Michael I. Jordan","University of California, Berkeley, Stanford University",US,27707,Artificial Intelligence
1986,A Computational Approach to Edge Detection,John Canny,Massachusetts Institute of Technology,US,27306,Artificial Intelligence
2016,Rethinking the Inception Architecture for Computer Vision,"Christian Szegedy, Vincent Vanhoucke, Sergey Ioffe, Jon Shlens, Zbigniew Wojna","University College London, Google (United States)","GB, US",26956,Artificial Intelligence
2005,Reinforcement Learning: An Introduction,"Richard S. Sutton, Andy Barto",Unknown Institution,Unknown Country,26902,Artificial Intelligence
